0.303998803,0.007500233,14.28794372,-0.332407407,-0.003140857,-5.983333333,47,"['old', 0.1, 'first', 0.25, 'first', 0.25, 'old', 0.1, 'Talented', 0.7, 'special', 0.35714285714285715, 'good', 0.7, 'avid', 0.25, 'good', 0.7, 'good', 0.7, 'first', 0.25, 'major', 0.0625, 'advanced', 0.4, 'first', 0.25, 'enjoy', 0.4, 'enjoy', 0.4, 'advanced', 0.4, 'first', 0.25, 'excited', 0.375, 'new', 0.13636363636363635, 'new', 0.13636363636363635, 'good', 0.7, 'high', 0.16, 'fine', 0.4166666666666667, 'fine', 0.4166666666666667, 'new', 0.13636363636363635, 'first', 0.25, 'fine', 0.4166666666666667, 'high', 0.16, 'real', 0.2, 'first', 0.25, 'fast', 0.2, 'huge', 0.4000000000000001, 'okay', 0.5, 'sweet', 0.35, 'significant', 0.375, 'first', 0.25, 'high', 0.16, 'pregnant', 0.3333333333333333, 'high', 0.16, 'new', 0.13636363636363635, 'new', 0.13636363636363635, 'new', 0.13636363636363635, 'certain', 0.21428571428571427, 'first', 0.25, 'full', 0.35, 'major', 0.0625]",18,"['sad', -0.5, 'unable', -0.5, 'scary', -0.5, 'mediocre', -0.5, 'anxious', -0.25, 'odd', -0.16666666666666666, 'difficult', -0.5, 'angry', -0.5, 'negative', -0.3, 'long', -0.05, 'dramatic', -0.4333333333333333, 'other', -0.125, 'active', -0.13333333333333333, 'difficult', -0.5, 'other', -0.125, 'unable', -0.5, 'minimal', -0.1, 'negative', -0.3]"
0.236623377,0.003373449,1.656363636,-0.378571429,-0.003084085,-1.514285714,7,"['married', 0.25, 'high', 0.16, 'high', 0.16, 'first', 0.25, 'whole', 0.2, 'new', 0.13636363636363635, 'able', 0.5]",4,"['secondhand', -0.1, 'sick', -0.7142857142857143, 'sad', -0.5, 'dead', -0.2]"
0.55,0.015536723,2.75,-0.322222222,-0.005461394,-0.966666667,5,"['happy', 0.8, 'first', 0.25, 'real', 0.2, 'good', 0.7, 'happy', 0.8]",3,"['sad', -0.5, 'negative', -0.3, 'odd', -0.16666666666666666]"
0.164814815,0.002292633,1.483333333,-0.301041667,-0.003722308,-2.408333333,9,"['old', 0.1, 'elementary', 0.3, 'old', 0.1, 'old', 0.1, 'pregnant', 0.3333333333333333, 'old', 0.1, 'first', 0.25, 'old', 0.1, 'old', 0.1]",8,"['due', -0.125, 'due', -0.125, 'unable', -0.5, 'few', -0.2, 'due', -0.125, 'unable', -0.5, 'tense', -0.3333333333333333, 'unable', -0.5]"
0.363400673,0.00392159,3.270606061,-0.286111111,-0.00617506,-5.15,9,"['sure', 0.5, 'happy', 0.8, 'fit', 0.4, 'high', 0.16, 'positive', 0.22727272727272727, 'pregnant', 0.3333333333333333, 'general', 0.05000000000000002, 'sexual', 0.5, 'worth', 0.3]",18,"['military', -0.1, 'afraid', -0.6, 'military', -0.1, 'base', -0.8, 'unable', -0.5, 'few', -0.2, 'due', -0.125, 'average', -0.15, 'mad', -0.625, 'sad', -0.5, 'military', -0.1, 'other', -0.125, 'few', -0.2, 'due', -0.125, 'partial', -0.1, 'minor', -0.05, 'sad', -0.5, 'anxious', -0.25]"
0.25,0.002645503,0.5,-0.166666667,-0.003527337,-0.666666667,2,"['first', 0.25, 'first', 0.25]",4,"['subject', -0.16666666666666666, 'subject', -0.16666666666666666, 'subject', -0.16666666666666666, 'subject', -0.16666666666666666]"
0.4,0.008963585,3.2,-0.433333333,-0.003641457,-1.3,8,"['supportive', 0.5, 'sexual', 0.5, 'married', 0.25, 'old', 0.1, 'own', 0.6, 'much', 0.2, 'consistent', 0.25, 'happy', 0.8]",3,"['mental', -0.1, 'unable', -0.5, 'bad', -0.6999999999999998]"
0.250769231,0.008211587,3.26,-0.297222222,-0.004492024,-1.783333333,13,"['first', 0.25, 'sexual', 0.5, 'old', 0.1, 'high', 0.16, 'normal', 0.15, 'old', 0.1, 'old', 0.1, 'first', 0.25, 'old', 0.1, 'full', 0.35, 'elementary', 0.3, 'old', 0.1, 'happy', 0.8]",6,"['disturbing', -0.5, 'violent', -0.8, 'subject', -0.16666666666666666, 'mental', -0.1, 'subject', -0.16666666666666666, 'long', -0.05]"
0.5,0.010869565,1,0,0,0,2,"['Healthy', 0.5, 'supportive', 0.5]",0,[]
0.368121212,0.003246219,7.362424242,-0.389311594,-0.003948045,-8.954166667,20,"['old', 0.1, 'elementary', 0.3, 'first', 0.25, 'old', 0.1, 'high', 0.16, 'happy', 0.8, 'free', 0.4, 'high', 0.16, 'YOUNG', 0.1, 'married', 0.25, 'pregnant', 0.3333333333333333, 'good', 0.7, 'happy', 0.8, 'new', 0.13636363636363635, 'new', 0.13636363636363635, 'great', 0.8, 'great', 0.8, 'proud', 0.8, 'old', 0.1, 'new', 0.13636363636363635]",23,"['unfaithful', -0.6, 'other', -0.125, 'difficult', -0.5, 'few', -0.2, 'lonely', -0.09999999999999998, 'difficult', -0.5, 'Disabled', -0.2, 'Disabled', -0.2, 'worthless', -0.8, 'bad', -0.6999999999999998, 'little', -0.1875, 'mad', -0.625, 'black', -0.16666666666666666, 'drag', -0.1, 'violent', -0.8, 'alcoholic', -0.25, 'anxious', -0.25, 'anxious', -0.25, 'crazy', -0.6, 'crazy', -0.6, 'dark', -0.15, 'stupid', -0.7999999999999999, 'anxious', -0.25]"
