Words,Count,Adjusted_Freq,Valence,Subjectivity,,
single,14,0.001176767,-0.071428571,0.214285714,,
premature,18,0.001512986,0,0,,
handicapped,1,8.40548E-05,0,0,,
ongoing,3,0.000252164,0,0,,
many,40,0.003362192,0.5,0.5,,
stepfather,5,0.000420274,0,0,,
Open,1,8.40548E-05,0,0.5,,
bandmusic,1,8.40548E-05,0,0,,
unlikeable,1,8.40548E-05,0,0,,
Basketball,1,8.40548E-05,0,0,,
alcoholic,43,0.003614357,-0.25,0.5,,
engaged,1,8.40548E-05,0,0,,
quiet,3,0.000252164,0,0.333333333,,
middle,107,0.008993864,0,0,,
sudden,2,0.00016811,0,0.5,,
obnoxious,1,8.40548E-05,0,0,,
everyday,2,0.00016811,-0.2,0.6,,
different,105,0.008825754,0,0.6,,
harsh,2,0.00016811,-0.2,0.7,,
considerable,1,8.40548E-05,0.1,0.45,,
locking,1,8.40548E-05,0,0,,
same,111,0.009330083,0,0.125,,
thingshitting,1,8.40548E-05,0,0,,
NorcoLortabs,1,8.40548E-05,0,0,,
23XMonth,2,0.00016811,0,0,,
extended,4,0.000336219,0,0,,
tipsy,1,8.40548E-05,0,0,,
IP,1,8.40548E-05,0,0,,
oxycontin,1,8.40548E-05,0,0,,
passing,3,0.000252164,0,0,,
purposeful,1,8.40548E-05,0,0,,
magical,1,8.40548E-05,0.5,1,,
16th,1,8.40548E-05,0,0,,
accountable,2,0.00016811,0,0,,
Physical,2,0.00016811,0,0.142857143,,
outdoor,2,0.00016811,0,0,,
ninth,4,0.000336219,0,0,,
violent,15,0.001260822,-0.8,1,,
weekly,4,0.000336219,0,0,,
1st5th,1,8.40548E-05,0,0,,
womans,1,8.40548E-05,0,0,,
45current,4,0.000336219,0,0,,
heavier,2,0.00016811,0,0,,
joyful,1,8.40548E-05,0,0,,
scheduled,1,8.40548E-05,0,0,,
underaged,1,8.40548E-05,0,0,,
early,29,0.002437589,0.1,0.3,,
vague,1,8.40548E-05,-0.5,0.5,,
possessive,1,8.40548E-05,0,0,,
homeroom,1,8.40548E-05,0,0,,
maintained,3,0.000252164,0,0,,
served,6,0.000504329,0,0,,
nice,3,0.000252164,0.6,1,,
endorsed,2,0.00016811,0,0,,
verbal,30,0.002521644,0,0,,
2xmonth,1,8.40548E-05,0,0,,
demeaning,2,0.00016811,0,0,,
intact,2,0.00016811,0,0,,
developmental,3,0.000252164,0,0,,
legal,14,0.001176767,0.2,0.2,,
cannabis,3,0.000252164,0,0,,
critical,4,0.000336219,0,0.8,,
lunar,1,8.40548E-05,0,0,,
measuring,1,8.40548E-05,0,0,,
methamphetamine,3,0.000252164,0,0,,
welcome,1,8.40548E-05,0.8,0.9,,
uterine,1,8.40548E-05,0,0,,
sixth,1,8.40548E-05,0,0,,
equivalent,1,8.40548E-05,0,0,,
stepbrother,1,8.40548E-05,0,0,,
strained,3,0.000252164,0,0,,
broken,2,0.00016811,-0.4,0.4,,
fractured,3,0.000252164,0,0,,
23XWeek,7,0.000588384,0,0,,
leftover,1,8.40548E-05,0,0,,
exciting,1,8.40548E-05,0.3,0.8,,
3XWeek,5,0.000420274,0,0,,
favorite,4,0.000336219,0.5,1,,
benzos,1,8.40548E-05,0,0,,
supervised,10,0.000840548,0,0,,
mixed,15,0.001260822,0,0.25,,
lasting,1,8.40548E-05,0,0,,
partied,1,8.40548E-05,0,0,,
burning,1,8.40548E-05,0,0,,
No,3,0.000252164,0,0,,
6months,1,8.40548E-05,0,0,,
homeless,30,0.002521644,0,0,,
elementary,123,0.010338741,0.3,0.9,,
restless,3,0.000252164,0,0,,
Week,1,8.40548E-05,0,0,,
agoraphobic,1,8.40548E-05,0,0,,
detox,1,8.40548E-05,0,0,,
her,6,0.000504329,0,0,,
NA,2,0.00016811,0,0,,
34Xweek,3,0.000252164,0,0,,
strict,8,0.000672438,0,0,,
detectable,1,8.40548E-05,0,0,,
racist,3,0.000252164,0,0,,
low,56,0.004707069,0,0.3,,
redbull,1,8.40548E-05,0,0,,
allergic,2,0.00016811,0,0,,
miserable,5,0.000420274,-1,1,,
complete,9,0.000756493,0.1,0.4,,
motherly,1,8.40548E-05,0,0,,
manipulative,4,0.000336219,0,0,,
pitched,1,8.40548E-05,0,0,,
abused,4,0.000336219,0,0,,
shortterm,2,0.00016811,0,0,,
1020,1,8.40548E-05,0,0,,
atrisk,1,8.40548E-05,0,0,,
receptive,1,8.40548E-05,0,0,,
Moved,1,8.40548E-05,0,0,,
dirty,4,0.000336219,-0.6,0.8,,
sleazy,1,8.40548E-05,0,0,,
Special,2,0.00016811,0.357142857,0.571428571,,
1212,17,0.001428932,0,0,,
certain,21,0.001765151,0.214285714,0.571428571,,
moved,49,0.004118685,0,0,,
deep,5,0.000420274,0,0.4,,
fellow,4,0.000336219,0,0,,
file,1,8.40548E-05,0,0,,
Real,1,8.40548E-05,0.2,0.3,,
1ozXWeek,2,0.00016811,0,0,,
1year,3,0.000252164,0,0,,
tight,2,0.00016811,-0.178571429,0.285714286,,
valid,1,8.40548E-05,0,0,,
1115,1,8.40548E-05,0,0,,
poor,15,0.001260822,-0.4,0.6,,
briefly,1,8.40548E-05,0,0.333333333,,
obsessed,3,0.000252164,-0.5,1,,
separate,19,0.001597041,0,0,,
ElHi,2,0.00016811,0,0,,
important,4,0.000336219,0.4,1,,
CNC,1,8.40548E-05,0,0,,
unattractive,1,8.40548E-05,0,0,,
gastric,2,0.00016811,0,0,,
Mexican,2,0.00016811,0,0,,
4xmonth,1,8.40548E-05,0,0,,
fraudulent,1,8.40548E-05,0,0,,
mushroomsused,1,8.40548E-05,0,0,,
behavioral,13,0.001092712,0,0,,
numbing,2,0.00016811,0,0,,
ovary,2,0.00016811,0,0,,
oral,4,0.000336219,0,0,,
all,2,0.00016811,0,0,,
caused,3,0.000252164,0,0,,
messy,1,8.40548E-05,-0.2,0.4,,
follow,1,8.40548E-05,0,0,,
religious,6,0.000504329,0,0.25,,
dadabusive,1,8.40548E-05,0,0,,
shoplifted,1,8.40548E-05,0,0,,
foster,31,0.002605699,0,0,,
worse,3,0.000252164,-0.4,0.6,,
clubbed,3,0.000252164,0,0,,
1212Inc,2,0.00016811,0,0,,
carefree,1,8.40548E-05,0,0,,
fat,4,0.000336219,0,0,,
manageable,1,8.40548E-05,0,0,,
overprotective,1,8.40548E-05,0,0,,
prolonged,1,8.40548E-05,0,0,,
large,23,0.00193326,0.214285714,0.428571429,,
Maintained,1,8.40548E-05,0,0,,
small,34,0.002857863,-0.25,0.4,,
biological,47,0.003950576,0,0,,
anal,1,8.40548E-05,0,0,,
Participant,45,0.003782466,0,0,,
portable,1,8.40548E-05,0,0,,
past,33,0.002773809,-0.25,0.25,,
further,4,0.000336219,0,0.5,,
casual,1,8.40548E-05,-0.5,0.866666667,,
Receivable,1,8.40548E-05,0,0,,
usig,1,8.40548E-05,0,0,,
Tried,2,0.00016811,0,0,,
brief,14,0.001176767,0,0.333333333,,
public,99,0.008321426,0,0.066666667,,
outgoing,4,0.000336219,0,0,,
full,57,0.004791124,0.35,0.55,,
selective,1,8.40548E-05,0,0,,
interoffice,1,8.40548E-05,0,0,,
strong,12,0.001008658,0.433333333,0.733333333,,
prior,1,8.40548E-05,0,0,,
healthier,1,8.40548E-05,0,0,,
social,77,0.00647222,0.033333333,0.066666667,,
Aug,2,0.00016811,0,0,,
Slow,1,8.40548E-05,-0.3,0.4,,
trained,1,8.40548E-05,0,0,,
armed,10,0.000840548,0,0,,
Overall,34,0.002857863,0,0,,
umbilical,6,0.000504329,0,0,,
minor,6,0.000504329,-0.05,0.2,,
102015,1,8.40548E-05,0,0,,
tested,1,8.40548E-05,0,0,,
controlling,3,0.000252164,0,0,,
particular,3,0.000252164,0.166666667,0.333333333,,
Smoked,2,0.00016811,0,0,,
glad,2,0.00016811,0.5,1,,
34xmonth,1,8.40548E-05,0,0,,
selfowned,1,8.40548E-05,0,0,,
recall,5,0.000420274,0,0,,
reconstructive,4,0.000336219,0,0,,
SI,2,0.00016811,0,0,,
knocked,1,8.40548E-05,0,0,,
male,8,0.000672438,0,0.1,,
fundamentalist,1,8.40548E-05,0,0,,
embarrassing,2,0.00016811,0,0,,
stated,1,8.40548E-05,0,0,,
neglected,1,8.40548E-05,0,0,,
minimum,2,0.00016811,0,0,,
opana,1,8.40548E-05,0,0,,
huge,5,0.000420274,0.4,0.9,,
8xyear,1,8.40548E-05,0,0,,
awkward,5,0.000420274,-0.6,1,,
18oz,4,0.000336219,0,0,,
unattended,1,8.40548E-05,0,0,,
onoff,1,8.40548E-05,0,0,,
okay,2,0.00016811,0.5,0.5,,
tried,2,0.00016811,0,0,,
612,1,8.40548E-05,0,0,,
VoTech,1,8.40548E-05,0,0,,
malnourished,2,0.00016811,0,0,,
numb,16,0.001344877,-0.6,1,,
Liked,1,8.40548E-05,0.6,0.8,,
short,17,0.001428932,0,0.3,,
Sapulpa,1,8.40548E-05,0,0,,
crowded,4,0.000336219,0,0,,
overnight,5,0.000420274,0,0,,
MidHS,1,8.40548E-05,0,0,,
infant,1,8.40548E-05,0,0,,
help,2,0.00016811,0,0,,
finalized,1,8.40548E-05,0,0,,
developed,3,0.000252164,0.1,0.3,,
Same,2,0.00016811,0,0.125,,
disabled,2,0.00016811,-0.2,0.3,,
held,1,8.40548E-05,0,0,,
Jewish,1,8.40548E-05,0,0,,
upbreak,1,8.40548E-05,0,0,,
25,1,8.40548E-05,0,0,,
6th7th,1,8.40548E-05,0,0,,
Parental,1,8.40548E-05,0,0,,
1st4th,1,8.40548E-05,0,0,,
late,15,0.001260822,-0.3,0.6,,
cool,2,0.00016811,0.35,0.65,,
good,79,0.006640329,0.7,0.6,,
motivated,4,0.000336219,0,0,,
disrespectful,5,0.000420274,0,0,,
homicidal,1,8.40548E-05,0,0,,
primary,30,0.002521644,0.4,0.5,,
2xweek,4,0.000336219,0,0,,
oxford,1,8.40548E-05,0,0,,
pregnant,114,0.009582248,0.333333333,0.5,,
nauseous,1,8.40548E-05,0,0,,
2x,1,8.40548E-05,0,0,,
400mg,1,8.40548E-05,0,0,,
stopped,8,0.000672438,0,0,,
Lortab,2,0.00016811,0,0,,
12th,12,0.001008658,0,0,,
found,6,0.000504329,0,0,,
¾,1,8.40548E-05,0,0,,
intolerable,1,8.40548E-05,0,0,,
AO565,1,8.40548E-05,0,0,,
heavy,6,0.000504329,-0.2,0.5,,
harm,1,8.40548E-05,0,0,,
fragile,2,0.00016811,0,0.5,,
teachingsubject,1,8.40548E-05,0,0,,
mental,32,0.002689754,-0.1,0.2,,
Marijuanalast,1,8.40548E-05,0,0,,
hard,32,0.002689754,-0.291666667,0.541666667,,
finish,1,8.40548E-05,0,0,,
Lowest,2,0.00016811,0,0,,
missed,3,0.000252164,0,0,,
electronic,1,8.40548E-05,0,0,,
acting,1,8.40548E-05,0,0,,
tiresome,1,8.40548E-05,-0.5,1,,
ED,1,8.40548E-05,0,0,,
pleasant,4,0.000336219,0.733333333,0.966666667,,
base,1,8.40548E-05,-0.8,1,,
3xyear,1,8.40548E-05,0,0,,
31917,1,8.40548E-05,0,0,,
onsite,1,8.40548E-05,0,0,,
terrible,5,0.000420274,-1,1,,
major,65,0.005463562,0.0625,0.5,,
unhealthy,7,0.000588384,-0.4,0.7,,
feel,9,0.000756493,0,0,,
belligerent,1,8.40548E-05,0,0,,
Indian,6,0.000504329,0,0,,
blank,1,8.40548E-05,0,0,,
miss,1,8.40548E-05,0,0,,
Lortabs,10,0.000840548,0,0,,
bloodied,1,8.40548E-05,0,0,,
5th,33,0.002773809,0,0,,
obtainable,1,8.40548E-05,0,0,,
bedridden,1,8.40548E-05,0,0,,
regained,1,8.40548E-05,0,0,,
selling,3,0.000252164,0,0,,
Dangerous,2,0.00016811,-0.6,0.9,,
helpful,15,0.001260822,0,0,,
immediate,1,8.40548E-05,0,0,,
peaked,2,0.00016811,0,0,,
ungrateful,1,8.40548E-05,0,0,,
double,2,0.00016811,0,0,,
familys,7,0.000588384,0,0,,
sentenced,2,0.00016811,0,0,,
Lortab152010mg,1,8.40548E-05,0,0,,
suspicious,2,0.00016811,0,0,,
Current,5,0.000420274,0,0.4,,
substantial,1,8.40548E-05,0,0,,
34XMonth,3,0.000252164,0,0,,
severe,27,0.00226948,0,0,,
internal,2,0.00016811,0,0,,
generalized,2,0.00016811,0,0,,
frail,1,8.40548E-05,0,0,,
experienced,7,0.000588384,0.8,0.9,,
12mg,1,8.40548E-05,0,0,,
promiscuous,2,0.00016811,0,0,,
Chief,2,0.00016811,0,0,,
significant,38,0.003194083,0.375,0.875,,
LEEP,1,8.40548E-05,0,0,,
unsupervised,7,0.000588384,0,0,,
mobile,1,8.40548E-05,0,0,,
clear,6,0.000504329,0.1,0.383333333,,
exs,2,0.00016811,0,0,,
clean,21,0.001765151,0.366666667,0.7,,
packof,1,8.40548E-05,0,0,,
charged,1,8.40548E-05,0,0,,
hyper,1,8.40548E-05,0,0,,
5lbs,1,8.40548E-05,0,0,,
660,1,8.40548E-05,0,0,,
fine,5,0.000420274,0.416666667,0.5,,
overwhelmed,10,0.000840548,0,0,,
distressing,13,0.001092712,0,0,,
reoccurring,1,8.40548E-05,0,0,,
nervous,6,0.000504329,0,0,,
12Xweek,1,8.40548E-05,0,0,,
unhappy,20,0.001681096,-0.6,0.9,,
failed,3,0.000252164,-0.5,0.3,,
pretty,7,0.000588384,0.25,1,,
congestive,2,0.00016811,0,0,,
unchaperoned,1,8.40548E-05,0,0,,
legible,1,8.40548E-05,0.2,0.6,,
valuable,1,8.40548E-05,0,0,,
frightening,1,8.40548E-05,-0.5,1,,
untreated,1,8.40548E-05,0,0,,
Olympic,4,0.000336219,0,0,,
fiancé,1,8.40548E-05,0,0,,
oxy,2,0.00016811,0,0,,
transitional,1,8.40548E-05,0,0,,
consensual,2,0.00016811,0,0,,
cry,1,8.40548E-05,0,0,,
spiked,1,8.40548E-05,0,0,,
common,4,0.000336219,-0.3,0.5,,
x,12,0.001008658,0,0,,
dump,1,8.40548E-05,0,0,,
30day,3,0.000252164,0,0,,
individual,24,0.002017315,0,0.4,,
dumb,1,8.40548E-05,-0.375,0.5,,
close,108,0.009077919,0,0,,
11th,12,0.001008658,0,0,,
Para,1,8.40548E-05,0,0,,
830th,1,8.40548E-05,0,0,,
degrading,1,8.40548E-05,0,0,,
various,29,0.002437589,0,0.5,,
livein,1,8.40548E-05,0,0,,
distraught,1,8.40548E-05,-0.6,1,,
wifes,4,0.000336219,0,0,,
numerous,13,0.001092712,0,0.5,,
6yo,2,0.00016811,0,0,,
15th,5,0.000420274,0,0,,
available,3,0.000252164,0.4,0.4,,
unconscious,3,0.000252164,0,0,,
missing,2,0.00016811,-0.2,0.05,,
sole,3,0.000252164,0,0.25,,
ulcerative,1,8.40548E-05,0,0,,
unstoppable,1,8.40548E-05,0,0,,
shortlived,1,8.40548E-05,0,0,,
African,1,8.40548E-05,0,0,,
selfconscious,1,8.40548E-05,0,0,,
c,1,8.40548E-05,0,0,,
feeling,13,0.001092712,0,0,,
last,132,0.011095234,0,0.066666667,,
hesitant,1,8.40548E-05,0,0,,
influential,1,8.40548E-05,0,0,,
tapered,2,0.00016811,0,0,,
sensitive,5,0.000420274,0.1,0.9,,
marriagein,1,8.40548E-05,0,0,,
alot,1,8.40548E-05,0,0,,
25current,3,0.000252164,0,0,,
whole,12,0.001008658,0.2,0.4,,
waitressing,1,8.40548E-05,0,0,,
pack1,1,8.40548E-05,0,0,,
drunk,32,0.002689754,-0.5,1,,
simple,1,8.40548E-05,0,0.357142857,,
sweet,3,0.000252164,0.35,0.65,,
newborn,4,0.000336219,0,0,,
unsuccessful,3,0.000252164,0,0,,
weekendroutine,1,8.40548E-05,0,0,,
expensive,3,0.000252164,-0.5,0.7,,
30mg,1,8.40548E-05,0,0,,
worthless,8,0.000672438,-0.8,0.9,,
described,1,8.40548E-05,0,0,,
underage,2,0.00016811,0,0,,
due,325,0.027317811,-0.125,0.375,,
25day,1,8.40548E-05,0,0,,
secret,1,8.40548E-05,-0.4,0.7,,
collected,1,8.40548E-05,0,0,,
intrusive,2,0.00016811,0,0,,
extreme,5,0.000420274,-0.125,1,,
meeting,1,8.40548E-05,0,0,,
empty,2,0.00016811,-0.1,0.5,,
gay,14,0.001176767,0.416666667,0.583333333,,
crack,1,8.40548E-05,0,0,,
39,1,8.40548E-05,0,0,,
else,3,0.000252164,0,0,,
disruptive,1,8.40548E-05,0,0,,
stolen,13,0.001092712,0,0,,
uncertain,4,0.000336219,0,0,,
frozen,1,8.40548E-05,0,0,,
technical,2,0.00016811,0,0.1,,
pressed,1,8.40548E-05,0,0,,
probationary,1,8.40548E-05,0,0,,
32,2,0.00016811,0,0,,
real,14,0.001176767,0.2,0.3,,
approximate,1,8.40548E-05,-0.4,0.6,,
sonic,1,8.40548E-05,0,0,,
averaging,1,8.40548E-05,0,0,,
disappointing,1,8.40548E-05,-0.6,0.7,,
101916,1,8.40548E-05,0,0,,
ready,12,0.001008658,0.2,0.5,,
funny,2,0.00016811,0.25,1,,
lengthy,1,8.40548E-05,0,0,,
clerical,1,8.40548E-05,0,0,,
12pack,6,0.000504329,0,0,,
benign,2,0.00016811,0,0,,
colorectal,1,8.40548E-05,0,0,,
grand,5,0.000420274,0.5,1,,
used,24,0.002017315,0,0,,
temporary,5,0.000420274,0,0,,
fatty,1,8.40548E-05,-0.2,0.4,,
unlabeled,1,8.40548E-05,0,0,,
overweight,5,0.000420274,0,0,,
alert,1,8.40548E-05,0,0,,
Zoloft,1,8.40548E-05,0,0,,
cleaning,1,8.40548E-05,0,0,,
Charged,1,8.40548E-05,0,0,,
dark,5,0.000420274,-0.15,0.4,,
surrogate,1,8.40548E-05,0,0,,
codeine,2,0.00016811,0,0,,
loathsome,1,8.40548E-05,0,0,,
edgy,1,8.40548E-05,-0.3,0.75,,
concrete,1,8.40548E-05,0.15,0.3,,
Nitrous,2,0.00016811,0,0,,
competitive,7,0.000588384,0,0,,
irritable,17,0.001428932,0,0,,
useful,1,8.40548E-05,0.3,0,,
alternative,9,0.000756493,0,0,,
profitable,2,0.00016811,0,0,,
1xmonth,1,8.40548E-05,0,0,,
alternate,1,8.40548E-05,0,0,,
recommended,1,8.40548E-05,0,0,,
pronouncing,1,8.40548E-05,0,0,,
impoverished,1,8.40548E-05,0,0,,
administrative,4,0.000336219,0,0,,
excited,2,0.00016811,0.375,0.75,,
surprised,1,8.40548E-05,0.1,0.9,,
useless,2,0.00016811,-0.5,0.2,,
Last,16,0.001344877,0,0.066666667,,
big,7,0.000588384,0,0.1,,
ambien,2,0.00016811,0,0,,
apt,4,0.000336219,0.6,1,,
Behavioral,1,8.40548E-05,0,0,,
namecalling,1,8.40548E-05,0,0,,
moody,2,0.00016811,0,0,,
OK,15,0.001260822,0.5,0.5,,
cognitive,2,0.00016811,0,0,,
confront,1,8.40548E-05,0,0,,
OD,1,8.40548E-05,0,0,,
unstable,5,0.000420274,0,0,,
popular,5,0.000420274,0.6,0.9,,
1412,2,0.00016811,0,0,,
rheumatoid,1,8.40548E-05,0,0,,
OP,10,0.000840548,0,0,,
1st,56,0.004707069,0,0,,
back,25,0.00210137,0,0,,
underdeveloped,1,8.40548E-05,0,0,,
martial,2,0.00016811,0,0,,
added,1,8.40548E-05,0,0,,
pale,1,8.40548E-05,-0.21,0.18,,
amicable,1,8.40548E-05,0,0,,
pronounced,2,0.00016811,0,0,,
Robbed,1,8.40548E-05,0,0,,
adoptive,13,0.001092712,0,0,,
bogus,2,0.00016811,0,0,,
minimal,1,8.40548E-05,-0.1,0.6,,
patient,1,8.40548E-05,0,0,,
6month,1,8.40548E-05,0,0,,
step,1,8.40548E-05,0,0,,
Lumpurian,1,8.40548E-05,0,0,,
intense,6,0.000504329,0.2,1,,
35current,4,0.000336219,0,0,,
wouldnt,1,8.40548E-05,0,0,,
stricken,1,8.40548E-05,0,0,,
outsideoutdoor,1,8.40548E-05,0,0,,
abusive,177,0.0148777,0,0,,
Intensive,1,8.40548E-05,0,0,,
genital,1,8.40548E-05,0,0,,
Eclectic,2,0.00016811,0,0,,
Normal,4,0.000336219,0.15,0.65,,
spending,5,0.000420274,0,0,,
fast,5,0.000420274,0.2,0.6,,
baggy,1,8.40548E-05,0,0,,
bored,1,8.40548E-05,-0.5,1,,
mundane,1,8.40548E-05,-0.166666667,0.166666667,,
collapsed,1,8.40548E-05,0,0,,
Severe,1,8.40548E-05,0,0,,
sick,19,0.001597041,-0.714285714,0.857142857,,
junior,11,0.000924603,0,0,,
k8th,1,8.40548E-05,0,0,,
mature,1,8.40548E-05,0.1,0.1,,
similar,4,0.000336219,0,0.4,,
ANXIETY,1,8.40548E-05,0,0,,
articular,1,8.40548E-05,0,0,,
unsafe,4,0.000336219,0,0,,
Outside,1,8.40548E-05,0,0.05,,
VicePresident,1,8.40548E-05,0,0,,
4xweek,1,8.40548E-05,0,0,,
2yearsold,1,8.40548E-05,0,0,,
occasional,10,0.000840548,0,0.125,,
paniclike,1,8.40548E-05,0,0,,
electrical,5,0.000420274,0,0,,
artistic,1,8.40548E-05,0.333333333,1,,
AA,20,0.001681096,0,0,,
accidental,5,0.000420274,0,0,,
symptomatic,1,8.40548E-05,0,0,,
intensified,2,0.00016811,0,0,,
drag,1,8.40548E-05,-0.1,0.070833333,,
Aa,1,8.40548E-05,0,0,,
neglectful,6,0.000504329,0,0,,
37Subject,1,8.40548E-05,0,0,,
downcast,1,8.40548E-05,0,0,,
required,3,0.000252164,0,0,,
2002,1,8.40548E-05,0,0,,
2003,2,0.00016811,0,0,,
2006,2,0.00016811,0,0,,
enrolled,7,0.000588384,0,0,,
fresh,3,0.000252164,0.3,0.5,,
48hr,1,8.40548E-05,0,0,,
partial,3,0.000252164,-0.1,0.3,,
enjoyable,2,0.00016811,0.5,0.6,,
23xweek,1,8.40548E-05,0,0,,
strep,1,8.40548E-05,0,0,,
contacted,1,8.40548E-05,0,0,,
concerned,2,0.00016811,0,0,,
young,15,0.001260822,0.1,0.4,,
intensive,1,8.40548E-05,0,0,,
culinary,1,8.40548E-05,0,0,,
stable,5,0.000420274,0,0,,
automotive,1,8.40548E-05,0,0,,
45Subject,1,8.40548E-05,0,0,,
romantic,7,0.000588384,0,0.5,,
drinking,7,0.000588384,0,0,,
continued,6,0.000504329,0,0,,
entire,41,0.003446247,0,0.625,,
stepgrandfather,1,8.40548E-05,0,0,,
1060,1,8.40548E-05,0,0,,
anxious,55,0.004623014,-0.25,1,,
Currently,8,0.000672438,0,0.4,,
video,2,0.00016811,0,0,,
uncomfortable,8,0.000672438,-0.5,1,,
odd,6,0.000504329,-0.166666667,0.25,,
find,2,0.00016811,0,0,,
Assault,1,8.40548E-05,0,0,,
volatile,6,0.000504329,0,0,,
pillsor,1,8.40548E-05,0,0,,
50th,1,8.40548E-05,0,0,,
bulimic,1,8.40548E-05,0,0,,
punch,2,0.00016811,0,0,,
desired,2,0.00016811,0,0,,
17yearold,1,8.40548E-05,0,0,,
irritating,1,8.40548E-05,-0.4,0.8,,
Oppositional,1,8.40548E-05,0,0,,
great,22,0.001849206,0.8,0.75,,
distressed,3,0.000252164,0,0,,
involved,18,0.001512986,0,0,,
opiate,5,0.000420274,0,0,,
36,1,8.40548E-05,0,0,,
35,2,0.00016811,0,0,,
34,8,0.000672438,0,0,,
paranoid,5,0.000420274,0,0,,
honor,1,8.40548E-05,0,0,,
bare,1,8.40548E-05,0.05,0.1,,
abusivedysfunctional,1,8.40548E-05,0,0,,
manage,1,8.40548E-05,0,0,,
private,39,0.003278137,0,0.375,,
332,1,8.40548E-05,0,0,,
singing,1,8.40548E-05,0,0,,
cloud,1,8.40548E-05,0,0,,
unprovoked,2,0.00016811,0,0,,
AQ928,1,8.40548E-05,0,0,,
use,4,0.000336219,0,0,,
illegal,5,0.000420274,-0.5,0.5,,
next,20,0.001681096,0,0,,
few,100,0.00840548,-0.2,0.1,,
1XWeek,1,8.40548E-05,0,0,,
upcoming,1,8.40548E-05,0,0,,
started,3,0.000252164,0,0,,
occurred,2,0.00016811,0,0,,
bodily,1,8.40548E-05,0,0.1,,
ashamed,2,0.00016811,0,0,,
tattered,2,0.00016811,0,0,,
rare,9,0.000756493,0.3,0.9,,
unfaithful,4,0.000336219,-0.6,0.9,,
unarmed,1,8.40548E-05,0,0,,
240mg,1,8.40548E-05,0,0,,
thin,1,8.40548E-05,-0.4,0.85,,
control,2,0.00016811,0,0,,
bittersweet,1,8.40548E-05,0,0,,
HIs,1,8.40548E-05,0,0,,
OxyContinOxycodone,2,0.00016811,0,0,,
high,332,0.027906195,0.16,0.54,,
serial,1,8.40548E-05,0,0,,
Several,9,0.000756493,0,0,,
counterfeit,2,0.00016811,0,0,,
varied,1,8.40548E-05,0,0,,
fortunate,1,8.40548E-05,0.4,0.7,,
LSDacid,1,8.40548E-05,0,0,,
overanalyzing,1,8.40548E-05,0,0,,
elliptical,2,0.00016811,0,0,,
panic,28,0.002353535,0,0,,
maternal,83,0.006976549,0,0,,
attend,3,0.000252164,0,0,,
80mg,1,8.40548E-05,0,0,,
12XWeek,5,0.000420274,0,0,,
impulsive,5,0.000420274,0,0,,
fiancés,2,0.00016811,0,0,,
psychiatric,24,0.002017315,0,0,,
2123,1,8.40548E-05,0,0,,
22nd,1,8.40548E-05,0,0,,
light,1,8.40548E-05,0.4,0.7,,
counter,1,8.40548E-05,0,0,,
interrupted,1,8.40548E-05,0,0,,
detoxshort,1,8.40548E-05,0,0,,
Middle,5,0.000420274,0,0,,
furious,1,8.40548E-05,0,0,,
Catholic,3,0.000252164,0,0.1,,
rebellious,6,0.000504329,0,0,,
mentioned,1,8.40548E-05,0,0,,
12Xmonth,1,8.40548E-05,0,0,,
operative,1,8.40548E-05,0,0,,
gestational,2,0.00016811,0,0,,
superior,1,8.40548E-05,0.7,0.9,,
Maternal,7,0.000588384,0,0,,
winning,1,8.40548E-05,0.5,0.75,,
72HR,1,8.40548E-05,0,0,,
permanent,2,0.00016811,0,0,,
2014,3,0.000252164,0,0,,
2017,2,0.00016811,0,0,,
criminal,4,0.000336219,-0.4,0.55,,
pending,1,8.40548E-05,0,0,,
2012,3,0.000252164,0,0,,
Loved,1,8.40548E-05,0.7,0.8,,
Significant,4,0.000336219,0.375,0.875,,
Hungry,1,8.40548E-05,0,0,,
LPN,4,0.000336219,0,0,,
asprin,1,8.40548E-05,0,0,,
front,5,0.000420274,0,0,,
fled,1,8.40548E-05,0,0,,
preschool,20,0.001681096,0,0,,
contagious,1,8.40548E-05,0,0,,
Iraqi,2,0.00016811,0,0,,
unpredictable,1,8.40548E-05,-0.166666667,1,,
Witnessed,1,8.40548E-05,0,0,,
related,12,0.001008658,0,0.4,,
aggravated,2,0.00016811,0,0,,
Bipolar,1,8.40548E-05,0,0,,
fiancée,1,8.40548E-05,0,0,,
meth,42,0.003530302,0,0,,
tenth,1,8.40548E-05,0,0,,
special,16,0.001344877,0.357142857,0.571428571,,
nondenominational,2,0.00016811,0,0,,
borderline,1,8.40548E-05,0,0,,
unlawful,5,0.000420274,0,0,,
situational,2,0.00016811,0,0,,
honorable,1,8.40548E-05,0,0,,
electronics,1,8.40548E-05,0,0,,
¼,3,0.000252164,0,0,,
red,2,0.00016811,0,0,,
fullterm,1,8.40548E-05,0,0,,
humiliating,2,0.00016811,0,0,,
WOL,1,8.40548E-05,0,0,,
scary,5,0.000420274,-0.5,1,,
pancreatic,1,8.40548E-05,0,0,,
hostile,1,8.40548E-05,0,0,,
intoxicated,14,0.001176767,0,0,,
retail,11,0.000924603,0,0,,
Enjoyed,1,8.40548E-05,0.5,0.7,,
absencetardy,1,8.40548E-05,0,0,,
embarrassed,2,0.00016811,0,0,,
eleventh,3,0.000252164,0,0,,
Adderall,8,0.000672438,0,0,,
